Tick, Second, Min, Hour, Day, Month, Year, Num_mkts, onemkt_rev/mo, onemkt_rev/yr, allmkts_rev/mo, allmkts_rev/yr, ocean_rev/mo, ocean_rev/yr, ocean_rev_growth/mo, ocean_rev_growth/yr, ps30_valuation, overall_valuation, fundamentals_valuation, speculation_valuation, tot_OCEAN_supply, tot_OCEAN_minted, tot_OCEAN_burned, OCEAN_minted/mo, OCEAN_burned/mo, OCEAN_minted_USD/mo, OCEAN_burned_USD/mo, OCEAN_price, RND/mo, rnd_to_sales_ratio, mkts_annual_growth_rate, dao_USD/mo, dao_OCEAN/mo, dao_OCEAN_in_USD/mo, dao_total_in_USD/mo
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, inf, inf, 0, 1.5e+08, 0, 1.5e+08, 6.909e+08, 0, 0, 0, 0, 0, 0, 0.217108, 0, 0, -0.118, 0, 0, 0, 0
24, 86400, 1440, 24, 1, 0.0333333, 0.00273973, 1.00084, 666.927, 666.927, 667.187, 667.187, 1.33437, 1.33437, inf, inf, 40.0312, 1.50041e+08, 40.0312, 1.50041e+08, 6.909e+08, 0, 0.29445, 0, 0.29445, 0, 0.0639362, 0.217168, 1.6348e+06, 1.22515e+06, 0.415, 1.21479, 2.77778e+06, 603244, 603245
48, 172800, 2880, 48, 2, 0.0666667, 0.00547945, 1.0018, 1334.49, 1334.49, 1335.64, 1335.64, 2.67128, 2.67128, inf, inf, 80.1384, 1.50082e+08, 80.1384, 1.50082e+08, 6.909e+08, 0, 0.60219, 0, 0.60219, 0, 0.130776, 0.217227, 1.6348e+06, 611992, 0.415, 2.48475, 2.77778e+06, 603409, 603411
72, 259200, 4320, 72, 3, 0.1, 0.00821918, 1.00275, 2002.68, 2002.68, 2005.37, 2005.37, 4.01073, 4.01073, inf, inf, 120.322, 1.50123e+08, 120.322, 1.50123e+08, 6.909e+08, 0, 0.910432, 0, 0.910432, 0, 0.197744, 0.217287, 1.6348e+06, 407607, 0.415, 3.75713, 2.77778e+06, 603574, 603578
96, 345600, 5760, 96, 4, 0.133333, 0.0109589, 1.0037, 2671.51, 2671.51, 2676.37, 2676.37, 5.35274, 5.35274, inf, inf, 160.582, 1.50165e+08, 160.582, 1.50164e+08, 6.909e+08, 0, 1.21918, 0, 1.21918, 0, 0.264838, 0.217346, 1.6348e+06, 305415, 0.415, 5.03193, 2.77778e+06, 603740, 603745
120, 432000, 7200, 120, 5, 0.166667, 0.0136986, 1.00466, 3340.98, 3340.98, 3348.65, 3348.65, 6.69729, 6.69729, inf, inf, 200.919, 1.50206e+08, 200.919, 1.50206e+08, 6.909e+08, 0, 1.52842, 0, 1.52842, 0, 0.332061, 0.217406, 1.63481e+06, 244099, 0.415, 6.30916, 2.77778e+06, 603906, 603912
144, 518400, 8640, 144, 6, 0.2, 0.0164384, 1.00561, 4011.08, 4011.08, 4022.21, 4022.21, 8.04441, 8.04441, inf, inf, 241.332, 1.50247e+08, 241.332, 1.50247e+08, 6.909e+08, 0, 1.83817, 0, 1.83817, 0, 0.399412, 0.217466, 1.63481e+06, 203223, 0.415, 7.58882, 2.77778e+06, 604071, 604079
168, 604800, 10080, 168, 7, 0.233333, 0.0191781, 1.00657, 4681.82, 4681.82, 4697.05, 4697.05, 9.3941, 9.3941, inf, inf, 281.823, 1.50288e+08, 281.823, 1.50288e+08, 6.909e+08, 0, 2.14843, 0, 2.14843, 0, 0.46689, 0.217525, 1.63481e+06, 174025, 0.415, 8.87092, 2.77778e+06, 604237, 604246
192, 691200, 11520, 192, 8, 0.266667, 0.0219178, 1.00753, 5353.2, 5353.2, 5373.17, 5373.17, 10.7463, 10.7463, inf, inf, 322.39, 1.50329e+08, 322.39, 1.50329e+08, 6.909e+08, 0, 2.45919, 0, 2.45919, 0, 0.534498, 0.217585, 1.63481e+06, 152127, 0.415, 10.1555, 2.77778e+06, 604403, 604413
216, 777600, 12960, 216, 9, 0.3, 0.0246575, 1.00849, 6025.22, 6025.22, 6050.59, 6050.59, 12.1012, 12.1012, inf, inf, 363.035, 1.50371e+08, 363.035, 1.5037e+08, 6.909e+08, 0, 2.77046, 0, 2.77046, 0, 0.602234, 0.217645, 1.63481e+06, 135095, 0.415, 11.4424, 2.77778e+06, 604568, 604580
240, 864000, 14400, 240, 10, 0.333333, 0.0273973, 1.00945, 6697.88, 6697.88, 6729.29, 6729.29, 13.4586, 13.4586, inf, inf, 403.757, 1.50412e+08, 403.757, 1.50412e+08, 6.909e+08, 0, 3.08223, 0, 3.08223, 0, 0.670099, 0.217704, 1.63481e+06, 121470, 0.415, 12.7319, 2.77778e+06, 604734, 604747
