Tick, Second, Min, Hour, Day, Month, Year, granter_OCEAN, granter_USD
0, 0, 0, 0, 0, 0, 0, 1, 0
24, 86400, 1440, 24, 1, 0.0333333, 0.00273973, 0.75, 0
48, 172800, 2880, 48, 2, 0.0666667, 0.00547945, 0.75, 0
72, 259200, 4320, 72, 3, 0.1, 0.00821918, 0.75, 0
96, 345600, 5760, 96, 4, 0.133333, 0.0109589, 0.5, 0
120, 432000, 7200, 120, 5, 0.166667, 0.0136986, 0.5, 0
144, 518400, 8640, 144, 6, 0.2, 0.0164384, 0.5, 0
168, 604800, 10080, 168, 7, 0.233333, 0.0191781, 0.25, 0
192, 691200, 11520, 192, 8, 0.266667, 0.0219178, 0.25, 0
216, 777600, 12960, 216, 9, 0.3, 0.0246575, 0.25, 0
240, 864000, 14400, 240, 10, 0.333333, 0.0273973, 0, 0
